29536 1.93E-01 6.42E-02 1.73E-04 2.17E+00 4.35E+00 2.83E+00 6.48E-01 2.70E+00 2.55E+00
29952 1.99E-01 6.81E-02 1.81E-04 2.35E+00 4.46E+00 2.80E+00 6.78E-01 2.74E+00 2.64E+00
30368 2.06E-01 7.23E-02 1.90E-04 2.55E+00 4.58E+00 2.77E+00 7.08E-01 2.77E+00 2.74E+00
30784 2.13E-01 7.68E-02 1.98E-04 2.76E+00 4.69E+00 2.74E+00 7.40E-01 2.80E+00 2.83E+00
31200 2.19E-01 8.19E-02 2.07E-04 3.00E+00 4.81E+00 2.71E+00 7.72E-01 2.83E+00 2.94E+00
31616 2.26E-01 8.74E-02 2.16E-04 3.26E+00 4.93E+00 2.68E+00 8.05E-01 2.86E+00 3.04E+00
32032 2.33E-01 9.34E-02 2.26E-04 3.55E+00 5.05E+00 2.65E+00 8.39E-01 2.88E+00 3.14E+00
32448 2.40E-01 1.00E-01 2.36E-04 3.88E+00 5.17E+00 2.62E+00 8.74E-01 2.91E+00 3.25E+00
32864 2.47E-01 1.07E-01 2.46E-04 4.23E+00 5.29E+00 2.58E+00 9.10E-01 2.93E+00 3.36E+00
33280 2.55E-01 1.15E-01 2.56E-04 4.62E+00 5.42E+00 2.55E+00 9.46E-01 2.95E+00 3.47E+00
33696 2.62E-01 1.24E-01 2.67E-04 5.05E+00 5.54E+00 2.52E+00 9.84E-01 2.97E+00 3.59E+00
34112 2.69E-01 1.34E-01 2.78E-04 5.53E+00 5.67E+00 2.49E+00 1.02E+00 2.99E+00 3.70E+00
34528 2.76E-01 1.44E-01 2.90E-04 6.05E+00 5.79E+00 2.46E+00 1.06E+00 3.01E+00 3.82E+00
34944 2.84E-01 1.56E-01 3.01E-04 6.62E+00 5.92E+00 2.43E+00 1.10E+00 3.03E+00 3.95E+00
35360 2.91E-01 1.69E-01 3.13E-04 7.25E+00 6.05E+00 2.40E+00 1.14E+00 3.04E+00 4.07E+00
35776 2.99E-01 1.83E-01 3.25E-04 7.94E+00 6.18E+00 2.37E+00 1.18E+00 3.06E+00 4.20E+00
36192 3.06E-01 1.98E-01 3.38E-04 8.70E+00 6.31E+00 2.34E+00 1.22E+00 3.07E+00 4.33E+00
36608 3.14E-01 2.15E-01 3.51E-04 9.53E+00 6.45E+00 2.31E+00 1.26E+00 3.09E+00 4.46E+00
37024 3.21E-01 2.34E-01 3.64E-04 1.04E+01 6.58E+00 2.28E+00 1.30E+00 3.10E+00 4.59E+00
37440 3.29E-01 2.54E-01 3.78E-04 1.14E+01 6.72E+00 2.25E+00 1.35E+00 3.11E+00 4.73E+00
37856 3.36E-01 2.76E-01 3.91E-04 1.25E+01 6.85E+00 2.22E+00 1.39E+00 3.12E+00 4.87E+00
38272 3.44E-01 3.01E-01 4.06E-04 1.37E+01 6.99E+00 2.19E+00 1.43E+00 3.13E+00 5.01E+00
38688 3.51E-01 3.27E-01 4.20E-04 1.49E+01 7.13E+00 2.16E+00 1.47E+00 3.14E+00 5.16E+00
39104 3.59E-01 3.57E-01 4.35E-04 1.63E+01 7.27E+00 2.13E+00 1.51E+00 3.15E+00 5.30E+00
39520 3.66E-01 3.88E-01 4.50E-04 1.78E+01 7.41E+00 2.10E+00 1.56E+00 3.16E+00 5.45E+00
39936 3.74E-01 4.23E-01 4.65E-04 1.94E+01 7.56E+00 2.08E+00 1.60E+00 3.17E+00 5.61E+00
40352 3.81E-01 4.60E-01 4.81E-04 2.11E+01 7.70E+00 2.05E+00 1.64E+00 3.17E+00 5.76E+00
40768 3.88E-01 5.01E-01 4.97E-04 2.30E+01 7.85E+00 2.02E+00 1.68E+00 3.18E+00 5.92E+00
41184 3.96E-01 5.45E-01 5.13E-04 2.49E+01 8.00E+00 2.00E+00 1.72E+00 3.19E+00 6.08E+00
41600 4.03E-01 5.93E-01 5.30E-04 2.71E+01 8.14E+00 1.97E+00 1.76E+00 3.19E+00 6.24E+00
42016 4.10E-01 6.44E-01 5.47E-04 2.93E+01 8.30E+00 1.94E+00 1.80E+00 3.20E+00 6.41E+00
42432 4.17E-01 7.00E-01 5.64E-04 3.18E+01 8.45E+00 1.92E+00 1.84E+00 3.20E+00 6.58E+00
